time,x,y,z,R11,R12,R13,R21,R22,R23,R31,R32,R33
1.23000000,0.00000000,0.00000000,0.98938200,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000
1.23100000,0.00000000,0.00000000,0.99071600,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000
1.23200000,0.00000000,0.00000000,0.99204900,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000
1.23300000,0.00000000,0.00000000,0.99338200,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000
1.23400000,0.00000000,0.00000000,0.99471600,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000
1.23500000,0.00000000,0.00000000,0.99604900,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000
1.23600000,0.00000000,0.00000000,0.99738200,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000
1.23700000,0.00000000,0.00000000,0.99871600,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000
1.23800000,0.00000000,0.00000000,1.00005000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000
1.23900000,0.00000000,0.00000000,1.00138000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000
1.24000000,0.00000000,0.00000000,1.00272000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000
1.24100000,0.00000000,0.00000000,1.00405000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000
